2025-12-23 08:22:50,002 | INFO | 🚀 Запуск генерации
2025-12-23 08:22:50,038 | INFO | ✅ Тренды загружены из кэша
2025-12-23 08:22:50,282 | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 08:22:50,294 | INFO | 📰 Заголовок: 16 ключевых фигур Microsoft в гонке к будущему Как ИИ меняет повестку компании
2025-12-23 08:22:54,553 | INFO | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-23 08:22:54,564 | WARNING | ⚠️ HF ошибка: 
2025-12-23 08:22:55,279 | INFO | Failed to extract font properties from /usr/share/fonts/truetype/noto/NotoColorEmoji.ttf: Can not load face (unknown file format; error code 0x2)
2025-12-23 08:22:55,291 | INFO | generated new fontManager
2025-12-23 08:22:55,466 | INFO | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-12-23 08:22:55,467 | INFO | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2025-12-23 08:22:55,592 | INFO | 🖼 PNG fallback
2025-12-23 08:22:55,594 | INFO | 💾 Статья сохранена: _posts/2025-12-23-16-ключевых-фигур-microsoft-в-гонке-к-будущему-как.md
2025-12-23 08:22:56,408 | INFO | 📢 Telegram статус: 200
